"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스"
"고객","40에서 50평 정도로 생각합니다","I","부동산업","토지","1","5","면적문의","면적","A","","","","40에서 50평 정도로 생각합니다","","40, 50평","","40/평수, 50평/평수"
"점원","단독으로 지으실 거예요?","I","부동산업","토지","0","6","지목(땅의용도)문의","땅의용도","Q","","","단독으로 지으실 거예요?","","","단독","","단독/용도"
"고객","네 단독으로 지으려고 합니다","I","부동산업","토지","1","7","지목(땅의용도)문의","땅의용도","A","","","","네 단독으로 지으려고 합니다","","단독","","단독/용도"
"점원","마침 적당한 매물이 있습니다","I","부동산업","토지","0","8","땅매수문의","","A","","","","","마침 적당한 매물이 있습니다","매물","",""
"고객","지금 보러 갈 수 있나요?","I","부동산업","토지","1","9","매물나온땅보러가기요청","","Q","","지금 보러 갈 수 있나요?","","","","지금","","지금/시간"
"점원","저와 함께 나가시죠","I","부동산업","토지","0","10","매물나온땅보러가기요청","","A","","","","","저와 함께 나가시죠","","",""
"고객","땅 좀 보러 왔습니다","I","부동산업","토지","1","1","땅매수문의","","Q","","땅 좀 보러 왔습니다","","","","땅","","땅/매물"
"점원","네 최근 거래가는 평당 500만 원 정도 하고 있습니다","I","부동산업","토지","0","2","시세문의","","A","","","","","네 최근 거래가는 평당 500만 원 정도 하고 있습니다","최근, 거래가, 평당, 500만원","","거래가/시세, 500만원/금액"
"고객","생각보다 너무 비싸네요","I","부동산업","토지","1","3","매매가문의","","A","","생각보다 너무 비싸네요","","","","","",""
"점원","네 이 주변이  최근 신도시 발표가 나서 가격이 많이 올랐습니다","I","부동산업","토지","0","4","매매가문의","","A","","","","","네 이 주변이  최근 신도시 발표가 나서 가격이 많이 올랐습니다","주변, 최근, 신도시, 발표, 가격","","주변/위치"
"고객","조금 더 싼 지역은 없을까요?","I","부동산업","토지","1","5","위치문의","","Q","","조금 더 싼 지역은 없을까요?","","","","조금, 지역","",""
"점원","그러시다면 조금 변두리로 빠지시면 아직 평당 300만 원대도 있습니다","I","부동산업","토지","0","6","시세문의","","A","","","","","그러시다면 조금 변두리로 빠지시면 아직 평당 300만 원대도 있습니다","조금, 변두리, 평당, 300만 원대","","변두리/위치, 300만 원대/금액"
"고객","그 위치도 땅값이 좀 오를 여지가 있을까요?","I","부동산업","토지","1","7","시세변동문의","","Q","","그 위치도 땅값이 좀 오를 여지가 있을까요?","","","","위치, 땅값","","땅값/시세"
"점원","네 그 정도 거리면 크게 멀지  않아 좀 더 오를 여지가 있습니다","I","부동산업","토지","0","8","시세변동문의","","A","","","","","네 그 정도 거리면 크게 멀지  않아 좀 더 오를 여지가 있습니다","거리","",""
"고객","정확히 어느 위치인지 지도 좀 보여주시겠어요?","I","부동산업","토지","1","9","위치문의","","Q","","정확히 어느 위치인지 지도 좀 보여주시겠어요?","","","","위치, 지도","","지도/참고수단"
"점원","네 지도상 위치는 이쪽입니다","I","부동산업","토지","0","10","위치문의","","A","","","","","네 지도상 위치는 이쪽입니다","위치, 이쪽","","이쪽/위치"
"고객","토지 거래에 대해 문의드려도 될까요?","I","부동산업","토지","1","1","땅매수문의","","Q","","토지 거래에 대해 문의드려도 될까요?","","","","토지, 거래, 문의","","토지/매물, 거래/계약종류"
"점원","네 그럼요","I","부동산업","토지","0","2","땅매수문의","","A","","","","","네 그럼요","","",""
"고객","중개 수수료는 얼마나 될까요?","I","부동산업","토지","1","3","중개보수문의","","Q","","중개 수수료는 얼마나 될까요?","","","","중개 수수료","","중개 수수료/수수료"
"점원","거래가 액의 9/10% 이내에서 협의하여 청구합니다","I","부동산업","토지","0","4","중개보수문의","","A","","","","","거래가 액의 9/10% 이내에서 협의하여 청구합니다","거래가 액, 9/10% 이내, 협의, 청구","",""
"고객","혹시 주말농장으로 이용 가능한 토지가 있나요?","I","부동산업","토지","1","5","땅매수문의","","Q","","혹시 주말농장으로 이용 가능한 토지가 있나요?","","","","주말농장, 토지","","주말농장/용도, 토지/매물"
"점원","평수는 얼마 정도를 알아보시나요?","I","부동산업","토지","0","6","면적문의","면적","Q","","","평수는 얼마 정도를 알아보시나요?","","","평수","",""
"고객","50평 정도면 좋을듯합니다","I","부동산업","토지","1","7","면적문의","면적","A","","","","50평 정도면 좋을듯합니다","","50평","","50평/평수"
"점원","한번 확인해 봐야 할 것 같습니다","I","부동산업","토지","0","8","땅매수문의","","A","5","","","","한번 확인해 봐야 할 것 같습니다","한번","",""
"고객","얼마나 기다려야 할까요?","I","부동산업","토지","1","9","매물보는시간약속정하기","","Q","","얼마나 기다려야 할까요?","","","","내일, 연락","","내일/날짜"
"점원","한 내일 다시 연락드리겠습니다","I","부동산업","토지","0","10","매물보는시간약속정하기","","A","","","","","한 내일 다시 연락드리겠습니다","내일, 다시","","내일/날짜"
"고객","가평에 농사지을 땅 있을까요?","I","부동산업","토지","1","1","땅매수문의","","Q","","가평에 농사지을 땅 있을까요?","","","","가평, 농사, 땅","","가평/장소, 농사/용도, 땅/매물"
"점원","네 현재 토지 매물 있습니다","I","부동산업","토지","0","2","땅매수문의","","A","","","","","네 현재 토지 매물 있습니다","현재, 토지, 매물","","현재/날짜, 토지/매물"
"고객","몇 평인가요?","I","부동산업","토지","1","3","면적문의","","Q","","몇 평인가요?","","","","평","","평/평수"
"점원","농지 만평 있습니다","I","부동산업","토지","0","4","면적문의","","A","","","","","농지 만평 있습니다","농지, 만평","","농지/용도, 만평/평수"
"고객","평당 얼마에요?","I","부동산업","토지","1","5","매매가문의","","Q","","평당 얼마에요?","","","","평당","",""
"점원","평당 2만 원입니다","I","부동산업","토지","0","6","매매가문의","","A","","","","","평당 2만 원입니다","평당, 2만원","","2만 원/금액"
"고객","5천 평만 구매 가능한가요?","I","부동산업","토지","1","7","땅매수문의","","Q","","5천 평만 구매 가능한가요?","","","","5천 평, 구매","","5천 평/평수, 구매/계약종류"
"점원","땅 주인한테 물어볼게요","I","부동산업","토지","0","8","땅매수문의","","A","","","","","땅 주인한테 물어볼게요","땅, 주인","","땅/매물"
"고객","지금 만나러 갈 수 있을까요?","I","부동산업","토지","1","9","매물나온땅보러가기요청","","Q","","지금 만나러 갈 수 있을까요?","","","","지금","","지금/시간"
"점원","네 같이 가시죠","I","부동산업","토지","0","10","매물나온땅보러가기요청","","A","","","","","네 같이 가시죠","","",""
"고객","제가 가지고 있는 토지 시세 좀 알아보려고 하는데요","I","부동산업","토지","1","1","시세문의","","Q","","제가 가지고 있는 토지 시세 좀 알아보려고 하는데요","","","","토지, 시세","","토지/매물"
"점원","주소 말씀해주시겠어요?","I","부동산업","토지","0","2","위치문의","위치","Q","","","주소 말씀해주시겠어요?","","","주소, 말씀","",""
"고객","#주소#입니다","I","부동산업","토지","1","3","위치문의","위치","A","","","","#주소#입니다","","#주소#","","#주소#/주소"
"점원","산에 있는 땅인가요?","I","부동산업","토지","0","4","위치문의","위치","Q","","","산에 있는 땅인가요?","","","산, 땅","","땅/매물"
"고객","네 맞습니다","I","부동산업","토지","1","5","위치문의","위치","A","","","","네 맞습니다","","","",""
"점원","일반 토지와 달리 산은 시세가 비교적 낮게 측정되실 수 있어요","I","부동산업","토지","0","6","시세문의","","A","","","","","일반 토지와 달리 산은 시세가 비교적 낮게 측정되실 수 있어요","토지, 산, 시세, 측정","","토지/매물"
"고객","무엇 때문인가요?","I","부동산업","토지","1","7","시세문의","","Q","","무엇 때문인가요?","","","","무엇","",""
"점원","일반 토지는 상가나 주택지로 이용될 수 있는 반면 산은 제한되는 부분이 많기 때문이에요","I","부동산업","토지","0","8","시세문의","","A","","","","","일반 토지는 상가나 주택지로 이용될 수 있는 반면 산은 제한되는 부분이 많기 때문이에요","토지, 상가, 주택지, 산, 제한, 부분","","토지/매물, 상가/매물, 주택지/용도"
"고객","그러면 가격은 어느 정도 나올까요?","I","부동산업","토지","1","9","시세문의","","Q","","그러면 가격은 어느 정도 나올까요?","","","","가격","",""
"점원","한번 조회를 해봐야 알 것 같아요","I","부동산업","토지","0","10","시세문의","","A","","","","","한번 조회를 해봐야 알 것 같아요","한번, 조회","",""
"고객","간석동에 매물 나온 거 있나요","I","부동산업","토지","1","1","땅매수문의","","Q","","간석동에 매물 나온 거 있나요","","","","간석동, 매물","","간석동/장소"
"점원","네 많이 있습니다","I","부동산업","토지","0","2","땅매수문의","","A","","","","","네 많이 있습니다","","",""
"고객","가격이 어떻게 돼요","I","부동산업","토지","1","3","매매가문의","","Q","","가격이 어떻게 돼요","","","","가격","",""
"점원","평당 500에 거래되고 있습니다","I","부동산업","토지","0","4","매매가문의","","A","","","","","평당 500에 거래되고 있습니다","평당, 500, 거래","","500/금액, 거래/계약종류"
"고객","2000평 정도 거래 가능할까요","I","부동산업","토지","1","5","땅매수문의","","Q","","2000평 정도 거래 가능할까요","","","","2000평, 거래","","2000평/평수, 거래/계약종류"
"점원","간석 사거리 부근에 크게 나온 게 있습니다","I","부동산업","토지","0","6","땅매수문의","","A","","","","","간석 사거리 부근에 크게 나온 게 있습니다","간석 사거리","","간석 사거리/장소"
"고객","보러 갈 수 있나요","I","부동산업","토지","1","7","매물나온땅보러가기요청","","Q","","보러 갈 수 있나요","","","","","",""
"점원","네 바로 가능합니다","I","부동산업","토지","0","8","매물나온땅보러가기요청","","A","","","","","네 바로 가능합니다","","",""
"고객","그럼 점심 먹고 바로 가시죠","I","부동산업","토지","1","9","매물나온땅보러가기요청","","Q","","그럼 점심 먹고 바로 가시죠","","","","점심","","점심/시간"
"점원","네 그렇게 합니다","I","부동산업","토지","0","10","매물나온땅보러가기요청","","A","","","","","네 그렇게 합니다","","",""
"고객","논을 좀 팔려고 하는데요","I","부동산업","토지","1","1","땅매도의뢰","","Q","","논을 좀 팔려고 하는데요","","","","논","","논/매물"
"점원","어디에 있는데요?","I","부동산업","토지","0","2","위치문의","위치","Q","","","어디에 있는데요?","","","어디","",""
"고객","여기 옆에 1000평짜리에요","I","부동산업","토지","1","3","위치문의","위치","A","","","","여기 옆에 1000평짜리에요","","여기, 옆, 1000평","","옆/위치, 1000평/평수"
"점원","그 정도면 시세가 꽤 될 텐데요","I","부동산업","토지","0","4","시세문의","시세","Q","","","그 정도면 시세가 꽤 될 텐데요","","","시세","",""
"고객","최대한 빨리 팔았으면 해요","I","부동산업","토지","1","5","시세문의","시세","A","","","","최대한 빨리 팔았으면 해요","","","",""
"점원","그럼 시세보다 좀 내려서 빼는 게 어때요?","I","부동산업","토지","0","6","매매가문의","매도자의희망매매가","Q","","","그럼 시세보다 좀 내려서 빼는 게 어때요?","","","시세","",""
"고객","얼마나 내려야 될까요?","I","부동산업","토지","1","7","매매가문의","","Q","","얼마나 내려야 될까요?","","","","","",""
"점원","그건 사장님 마음이죠","I","부동산업","토지","0","8","매매가문의","","A","","","","","그건 사장님 마음이죠","사장님, 마음","",""
"고객","가격은 좀 더 생각해보고 알려드릴 테니 일단 매물만 올려주세요","I","부동산업","토지","1","9","땅매도의뢰","","Q","","가격은 좀 더 생각해보고 알려드릴 테니 일단 매물만 올려주세요","","","","가격, 매물","",""
"점원","네 알겠습니다","I","부동산업","토지","0","10","땅매도의뢰","","A","","","","","네 알겠습니다","","",""
"고객","땅을 알아보고 있는데요","I","부동산업","토지","1","1","땅매수문의","","Q","","땅을 알아보고 있는데요","","","","땅","","땅/매물"
"점원","어떤 용도로 알아보고 계시나요?","I","부동산업","토지","0","2","지목(땅의용도)문의","땅의용도","Q","","","어떤 용도로 알아보고 계시나요?","","","용도","",""
"고객","우선 마련해 놓고 나중에 집을 지을까 합니다","I","부동산업","토지","1","3","지목(땅의용도)문의","땅의용도","A","","","","우선 마련해 놓고 나중에 집을 지을까 합니다","","집","","집/매물"
"점원","원하시는 조건이 있으신가요?","I","부동산업","토지","0","4","땅매수문의","매물조건","Q","","","원하시는 조건이 있으신가요?","","","조건","",""
"고객","한적한 곳이었으면 합니다","I","부동산업","토지","1","5","땅매수문의","매물조건","A","","","","한적한 곳이었으면 합니다","","한적한 곳","",""
"점원","그럼 외곽으로 생각 중이시군요","I","부동산업","토지","0","6","위치문의","위치","Q","","","그럼 외곽으로 생각 중이시군요","","","외곽","","외곽/위치"
"고객","경기도권 정도면 좋겠습니다","I","부동산업","토지","1","7","위치문의","위치","A","","","","경기도권 정도면 좋겠습니다","","경기도권","","경기도권/장소"
"점원","남양주 쪽이 요즘 토지 거래가  많은 편입니다","I","부동산업","토지","0","8","위치문의","위치","Q","","","남양주 쪽이 요즘 토지 거래가  많은 편입니다","","","남양주, 쪽, 요즘, 토지, 거래","","남양주/장소, 쪽/위치, 토지/매물, 거래/계약종류"
"고객","남양주 좋네요","I","부동산업","토지","1","9","위치문의","위치","A","","","","남양주 좋네요","","남양주","","남양주/장소"
"점원","이 자료 한번 보시고 검토해보세요","I","부동산업","토지","0","10","토지대장토지등기부등본열람요청","","A","","","","","이 자료 한번 보시고 검토해보세요","자료, 한번, 검토","","자료/참고수단"
"고객","강원도 양양에 토지 보고 싶어서 왔습니다","I","부동산업","토지","1","1","땅매수문의","","Q","","강원도 양양에 토지 보고 싶어서 왔습니다","","","","강원도 양양, 토지","","강원도 양양/장소, 토지/매물"
"점원","네 어떤 용도의 토지로 보시나요?","I","부동산업","토지","0","2","지목(땅의용도)문의","땅의용도","Q","","","네 어떤 용도의 토지로 보시나요?","","","용도, 토지","","토지/매물"
"고객","펜션을 지을만한 토지로 추천해주세요","I","부동산업","토지","1","3","지목(땅의용도)문의","땅의용도","A","","","","펜션을 지을만한 토지로 추천해주세요","","펜션, 토지, 추천","","펜션/용도, 토지/매물"
"점원","그럼 양양군 바다 앞에 위치하고 있는 여기는 어떠신가요?","I","부동산업","토지","0","4","위치문의","위치","Q","","","그럼 양양군 바다 앞에 위치하고 있는 여기는 어떠신가요?","","","양양군, 바다, 앞, 위치, 여기","","양양군/장소, 앞/위치"
"고객","날 잡아서 한 번 보러 갈 수 있을까요?","I","부동산업","토지","1","5","매물보는시간약속정하기","","Q","","날 잡아서 한 번 보러 갈 수 있을까요?","","","","한 번","",""
"점원","네 가능합니다","I","부동산업","토지","0","6","매물보는시간약속정하기","","A","","","","","네 가능합니다","","",""
"고객","토지 공시지가 및 등기부도 지금 확인 가능한가요?","I","부동산업","토지","1","7","토지대장토지등기부등본열람요청","","Q","","토지 공시지가 및 등기부도 지금 확인 가능한가요?","","","","토지, 공시지가, 등기부, 지금","","토지/매물, 공시지가/서류내용, 등기부/서류, 지금/시간"
"점원","네 잠시만 기다려주세요","I","부동산업","토지","0","8","토지대장토지등기부등본열람요청","","A","","","","","네 잠시만 기다려주세요","","",""
"고객","그럼 월요일에 직접 보러 가는 것으로 할게요","I","부동산업","토지","1","9","매물보는시간약속정하기","","Q","","그럼 월요일에 직접 보러 가는 것으로 할게요","","","","월요일","","월요일/요일"
"점원","네 그럼 월요일에 뵙겠습니다","I","부동산업","토지","0","10","매물보는시간약속정하기","","A","","","","","네 그럼 월요일에 뵙겠습니다","월요일","","월요일/요일"
"고객","경기도 쪽 땅을 사려고 하는데 여기서 알아보면 되나요?","I","부동산업","토지","1","1","땅매수문의","","Q","","경기도 쪽 땅을 사려고 하는데 여기서 알아보면 되나요?","","","","경기도, 쪽, 땅","","경기도/장소, 쪽/위치, 땅/매물"
"점원","네 경기도 쪽은 저희가 좋은 매물이 많습니다","I","부동산업","토지","0","2","땅매수문의","","A","","","","","네 경기도 쪽은 저희가 좋은 매물이 많습니다","경기도, 쪽, 매물","","경기도/장소, 쪽/위치"
"고객","어떤 용도의 땅을 사야 돈이 되는 건가요?","I","부동산업","토지","1","3","투자문의","","Q","","어떤 용도의 땅을 사야 돈이 되는 건가요?","","","","용도, 땅, 돈","","땅/매물"
"점원","가장 이득을 볼 수 있는 건 용도변경을 앞둔 땅이라고 볼 수 있습니다","I","부동산업","토지","0","4","투자문의","","A","","","","","가장 이득을 볼 수 있는 건 용도변경을 앞둔 땅이라고 볼 수 있습니다","이득, 용도변경, 땅","","땅/매물"
"고객","여기도 그런 땅이 있나요?","I","부동산업","토지","1","5","땅매수문의","","Q","","여기도 그런 땅이 있나요?","","","","여기, 땅","","땅/매물"
"점원","네  A 지구 근방에 거대한 상업시설이 들어설 예정이라 절대농지가 해제될 예정인 곳이 있습니다","I","부동산업","토지","0","6","토지관련법정책","","A","","","","","네  A 지구 근방에 거대한 상업시설이 들어설 예정이라 절대농지가 해제될 예정인 곳이 있습니다","A지구, 근방, 상업시설, 절대농지, 해제, 예정인 곳","","A지구/장소, 근방/위치, 상업시설/입지정보"
"고객","언제쯤 들어서는지 알고 계시나요?","I","부동산업","토지","1","7","개발계획문의","","Q","","언제쯤 들어서는지 알고 계시나요?","","","","언제","",""
"점원","2030년 개발 예정으로 알고 있습니다","I","부동산업","토지","0","8","개발계획문의","","A","","","","","2030년 개발 예정으로 알고 있습니다","2030년, 개발 예정","","2030년/년"
"고객","어떻게 해야 매입할 수 있나요?","I","부동산업","토지","1","9","계약요청","","Q","","어떻게 해야 매입할 수 있나요?","","","","매입","","매입/계약종류"
"점원","일단 농지이기 때문에 매매 계약서를 작성한 후 농지취득자격 증명서를 받아서 소유권 이전 등기 신청서를 첨부하시면 됩니다","I","부동산업","토지","0","10","계약요청","","A","","","","","일단 농지이기 때문에 매매 계약서를 작성한 후 농지취득자격 증명서를 받아서 소유권 이전 등기 신청서를 첨부하시면 됩니다","농지, 매매 계약서, 작성, 농지취득자격 증명서, 소유권 이전 등기 신청서, 첨부","","매매 계약서/서류, 농지취득자격 증명서/서류, 소유권 이전 등기 신청서/서류"
"고객","공장 부지 매입하려고 하는데 상담가능한가요?","I","부동산업","토지","1","1","땅매수문의","","Q","","공장 부지 매입하려고 하는데 상담가능한가요?","","","","공장 부지, 매입, 상담","","공장 부지/매물, 매입/계약종류"
"점원","가능합니다","I","부동산업","토지","0","2","땅매수문의","","A","","","","","가능합니다","","",""
"고객","토지거래허가구역이 뭔가요?","I","부동산업","토지","1","3","토지관련법정책","","Q","","토지거래허가구역이 뭔가요?","","","","토지거래허가구역","토지거래허가구역/국가에 허락을 받아야 하는 구역",""
"점원","토지 투기가 있거나 그럴 우려가 있는 땅인데 거래할 때 국가에서 허락을 받아야 하는 구역입니다","I","부동산업","토지","0","4","토지관련법정책","","A","","","","","토지 투기가 있거나 그럴 우려가 있는 땅인데 거래할 때 국가에서 허락을 받아야 하는 구역입니다","토지 투기, 우려, 땅, 거래, 국가, 허락, 구역","","토지 투기/토지거래, 땅/매물, 거래/계약종류"
"고객","개인도 거래가 가능한가요?","I","부동산업","토지","1","5","토지관련법정책","","Q","","개인도 거래가 가능한가요?","","","","개인, 거래","","개인/토지거래, 거래/계약종류"
"점원","개인은 거의 불가능하고 법무사에게 맡겨야 합니다","I","부동산업","토지","0","6","토지관련법정책","","A","","","","","개인은 거의 불가능하고 법무사에게 맡겨야 합니다","개인, 불가능, 법무사","","법무사/대리인"
"고객","개인이 가능한 방법은 무엇인가요?","I","부동산업","토지","1","7","토지관련법정책","","Q","","개인이 가능한 방법은 무엇인가요?","","","","","",""
"점원","도시 계획 구역의 공장부지 경우에 660평 미만이면 허가를 받지 않으셔도 됩니다","I","부동산업","토지","0","8","토지관련법정책","","A","","","","","도시 계획 구역의 공장부지 경우에 660평 미만이면 허가를 받지 않으셔도 됩니다","도시 계획 구역, 공장부지, 660평 미만, 허가","","공장 부지/매물, 공장부지/매물, 660평 미만/평수"
"고객","그 이상이면 반드시 법무사에게 맡겨야 하나요?","I","부동산업","토지","1","9","토지관련법정책","","Q","","그 이상이면 반드시 법무사에게 맡겨야 하나요?","","","","법무사","","법무사/대리인"
"점원","그게 훨씬 시간과 경비를 절약하는 방법입니다","I","부동산업","토지","0","10","토지관련법정책","","A","","","","","그게 훨씬 시간과 경비를 절약하는 방법입니다","시간, 경비, 절약, 방법","",""
"고객","제주도 땅값이 오르고 있다면서요","I","부동산업","토지","1","1","시세변동문의","","Q","","제주도 땅값이 오르고 있다면서요","","","","제주도, 땅값","","제주도/장소, 땅값/시세"
"점원","요즘 땅값이 많이 오르고 있어요","I","부동산업","토지","0","2","시세변동문의","","A","","","","","요즘 땅값이 많이 오르고 있어요","요즘, 땅값","","땅값/시세"
"고객","한평에 얼마쯤 하나요?","I","부동산업","토지","1","3","시세문의","","Q","","한평에 얼마쯤 하나요?","","","","한평","","한평/평수"
"점원","요즘 150만 원입니다","I","부동산업","토지","0","4","시세문의","","A","","","","","요즘 150만 원입니다","요즘, 150만 원","","150만 원/금액"
"고객","50평 정도 사려고 하는데 가능한가요?","I","부동산업","토지","1","5","면적문의","","Q","","50평 정도 사려고 하는데 가능한가요?","","","","50평","","50평/평수"
"점원","네 가능하죠","I","부동산업","토지","0","6","면적문의","","A","","","","","네 가능하죠","","",""
"고객","그러면 50평 계약해주세요","I","부동산업","토지","1","7","계약요청","","Q","","그러면 50평 계약해주세요","","","","50평, 계약","","50평/평수"
"점원","서류작성해주세요","I","부동산업","토지","0","8","계약요청","서류작성","Q","","","서류작성해주세요","","","서류작성","",""
"고객","다 되었습니다","I","부동산업","토지","1","9","계약요청","서류작성","A","","","","다 되었습니다","","","",""
"점원","궁금한 점 있으시면 연락 바랍니다","I","부동산업","토지","0","10","계약요청","","A","","","","","궁금한 점 있으시면 연락 바랍니다","궁금한 점, 연락","",""
"고객","사장님 땅 좀 내놓으려고 해요","I","부동산업","토지","1","1","땅매도의뢰","","Q","","사장님 땅 좀 내놓으려고 해요","","","","사장님, 땅, 좀","","땅/매물"
"점원","위치가 어디죠?","I","부동산업","토지","0","2","위치문의","위치","Q","","","위치가 어디죠?","","","위치, 어디","",""
"고객","주소는 여기 있어요","I","부동산업","토지","1","3","위치문의","위치","A","","","","주소는 여기 있어요","","주소, 여기","",""
"점원","얼마로 생각하고 있으세요?","I","부동산업","토지","0","4","매매가문의","매도자의희망매매가","Q","","","얼마로 생각하고 있으세요?","","","","",""
"고객","지금 시세가 어떻게 되나요?","I","부동산업","토지","1","5","시세문의","","Q","","지금 시세가 어떻게 되나요?","","","","지금, 시세","","지금/시간"
"점원","작년까지 평당 100이었는데 지금은 150으로 올랐죠","I","부동산업","토지","0","6","시세문의","","A","","","","","작년까지 평당 100이었는데 지금은 150으로 올랐죠","작년, 평당, 100, 지금, 150","","100/금액, 지금/시간, 150/금액"
"고객","한 번에 다 팔고 싶은데 가능할까요?","I","부동산업","토지","1","7","땅매도의뢰","","Q","","한 번에 다 팔고 싶은데 가능할까요?","","","","한 번","",""
"점원","몇 평이죠?","I","부동산업","토지","0","8","면적문의","면적","Q","","","몇 평이죠?","","","평","","평/평수"
"고객","다 합쳐서 600평이요","I","부동산업","토지","1","9","면적문의","면적","A","","","","다 합쳐서 600평이요","","600평","","600평/평수"
"점원","600평이면 시간이 좀 걸릴 수도 있어요","I","부동산업","토지","0","10","땅매도의뢰","","A","7","","","","600평이면 시간이 좀 걸릴 수도 있어요","600평, 시간, 좀","","600평/평수"
"고객","토지 투자에 대해 상담 좀 하려고 합니다","I","부동산업","토지","1","1","투자문의","","Q","","토지 투자에 대해 상담 좀 하려고 합니다","","","","토지, 투자, 상담","","토지/매물, 투자/목적"
"점원","네 차 한잔하시겠어요","I","부동산업","토지","0","2","투자문의","권유","Q","","","네 차 한잔하시겠어요","","","차, 한잔","","차/응대음료, 한잔/수량"
"고객","네 커피로 주세요","I","부동산업","토지","1","3","투자문의","권유","A","","","","네 커피로 주세요","","커피","","커피/응대음료"
"점원","우선 지역과 투자금액을 알려 주세요","I","부동산업","토지","0","4","위치문의","위치매매가문의","Q","","","우선 지역과 투자금액을 알려 주세요","","","지역, 투자금액","","투자금액/투자"
"고객","제가 생각한 지역은 대곡역 근처를 생각하고 왔어요","I","부동산업","토지","1","5","위치문의","","Q","","제가 생각한 지역은 대곡역 근처를 생각하고 왔어요","","","","지역, 대곡역, 근처","","대곡역/장소, 근처/위치"
"점원","네 그곳은 벌써 가격이 상당히 올라 있는데요","I","부동산업","토지","0","6","시세문의","","A","","","","","네 그곳은 벌써 가격이 상당히 올라 있는데요","그곳, 가격","",""
"고객","그래도 앞으로 교통요지라 더 오르지 않을까 해서요","I","부동산업","토지","1","7","시세변동문의","","Q","","그래도 앞으로 교통요지라 더 오르지 않을까 해서요","","","","교통요지","","교통요지/입지정보"
"점원","음 금액은 어는 정도 갖고 계시나요?","I","부동산업","토지","0","8","매매가문의","매수자의희망매매가","Q","","","음 금액은 어는 정도 갖고 계시나요?","","","금액","",""
"고객","네 4억 5천 정도 생각하고 있어요","I","부동산업","토지","1","9","매매가문의","매수자의희망매매가","A","","","","네 4억 5천 정도 생각하고 있어요","","4억 5천","","4억 5천/금액"
"점원","그 금액이면 좀 부족합니다","I","부동산업","토지","0","10","시세변동문의","","A","","","","","그 금액이면 좀 부족합니다","금액, 부족","",""
"고객","이 땅이 반은 제거고 반은 다른 사람 거여서 제가 다 매입을 하고 싶은데요","I","부동산업","토지","1","1","땅매수문의","","Q","","이 땅이 반은 제거고 반은 다른 사람 거여서 제가 다 매입을 하고 싶은데요","","","","땅, 반, 반","","땅/매물"
"점원","네 혹시 다른 주인분과는 연락되신 건가요?","I","부동산업","토지","0","2","합의문의","합의","Q","","","네 혹시 다른 주인분과는 연락되신 건가요?","","","주인분","",""
"고객","네 이야기했어요","I","부동산업","토지","1","3","합의문의","합의","A","","","","네 이야기했어요","","","",""
"점원","어느 정도 가격으로 합의 보셨나요?","I","부동산업","토지","0","4","매매가문의","매수자의희망매매가","Q","","","어느 정도 가격으로 합의 보셨나요?","","","정도, 가격, 합의","",""
"고객","1억으로 하기로 했어요","I","부동산업","토지","1","5","매매가문의","매수자의희망매매가","A","","","","1억으로 하기로 했어요","","1억","","1억/금액"
"점원","아 그 정도면 손해 보시는 건 아니시네요","I","부동산업","토지","0","6","땅매도의뢰","","A","","","","","아 그 정도면 손해 보시는 건 아니시네요","정도, 손해","",""
"고객","네 혹시 이 근처에 도로가 생긴다는 게 맞나요?","I","부동산업","토지","1","7","주변개발계획문의","","Q","","네 혹시 이 근처에 도로가 생긴다는 게 맞나요?","","","","근처, 도로","","근처/위치"
"점원","네 주유소 근처에 생긴다고 합니다","I","부동산업","토지","0","8","주변개발계획문의","","A","","","","","네 주유소 근처에 생긴다고 합니다","주유소, 근처","","주유소/입지정보, 근처/위치"
"고객","아 잘 됐네요","I","부동산업","토지","1","9","주변개발계획문의","","A","","","","아 잘 됐네요","","","",""
"점원","네 아마 그렇게 되면 더 오르지 않을까 생각합니다","I","부동산업","토지","0","10","주변개발계획문의","","A","","","","","네 아마 그렇게 되면 더 오르지 않을까 생각합니다","","",""
"고객","부인이랑 적당한 마당이 있는 집을 지을 땅을 좀 보려고 하는데 적당한 매물이 있나요?","I","부동산업","토지","1","1","지목(땅의용도)문의","","Q","","부인이랑 적당한 마당이 있는 집을 지을 땅을 좀 보려고 하는데 적당한 매물이 있나요?","","","","부인, 마당, 집, 땅, 매물","","마당/외부, 집/용도, 땅/매물"
"점원","대지 면적을 몇 평 정도로 생각하시는데요?","I","부동산업","토지","0","2","면적문의","면적","Q","","","대지 면적을 몇 평 정도로 생각하시는데요?","","","대지 면적, 평, 정도","","대지면적/면적, 평/평수"
"고객","명절에 자식들이 내려와서 편하게 쉴 수 있을 정도의 집에 강아지 두 마리 풀어 놓고 키우려면 어느 정도  돼야 할까요?","I","부동산업","토지","1","3","면적문의","","Q","","명절에 자식들이 내려와서 편하게 쉴 수 있을 정도의 집에 강아지 두 마리 풀어 놓고 키우려면 어느 정도  돼야 할까요?","","","","명절, 자식, 정도, 집, 강아지, 두 마리","","강아지/동물"
